HVH_107_11_000001_000001	皇越律例卷十一日錄
HVH_107_11_000020_000022	原封者一角放大十每一角加一等罪
HVH_107_11_000020_000023	止杖一百若事干軍情機文書
HVH_107_11_000020_000024	典渝
HVH_107_11_000020_000025	泄不
HVH_107_11_000020_000026	同不拘角敷即杖一百有所规避而沉
HVH_107_11_000020_000027	拆者各從重論
HVH_107_11_000020_000028	沉拆罪重同抗拆
HVH_107_11_000020_000029	规避罪重観
HVH_107_11_000020_000030	其铺
HVH_107_11_000020_000031	司不告舉者與犯人同罪若已告舉而
HVH_107_11_000020_000032	所在官司不即受理施行者各犯人
HVH_107_11_000020_000033	非二等其各縣铺長專一於管铺
HVH_107_11_000020_000034	分往来巡视提調官吏每月一次親臨
HVH_107_11_000020_000035	各铺刷勘若輔失檢舉者通計公
HVH_107_11_000020_000036	文普留及磨擦破壤封皮不動原封十
HVH_107_11_000020_000037	件以上铺長答四十提調吏典三十
HVH_107_11_000021_000001	官笞二十若壊及沉匿公文若拆動
HVH_107_11_000021_000002	等官又减一等府州提調官吏失檢
HVH_107_11_000021_000003	舉者各减一等
HVH_107_11_000021_000004	事管悉选公文者目铺兵管销
HVH_107_11_000021_000005	事者日铺同設立铺题所以達
HVH_107_11_000021_000006	第符後來文書一書夜以
HVH_107_11_000021_000007	三百里為限一刻應行三里若铺司
HVH_107_11_000021_000008	者罪在铺兵部刻罪起于二十
HVH_107_11_000021_000009	到辅等待後来不即典铺兵财
HVH_107_11_000021_000010	之罪在铺词坐二十。磨擦被
HVH_107_11_000021_000011	皇越律例
HVH_107_11_000021_000012	卷十共章
HVH_107_11_000021_000013	二十
HVH_107_11_000021_000014	是建公
HVH_107_11_000021_000015	輕损壞謂缺落不全甚于其
HVH_107_11_000021_000016	情消重然皆辣忽失非同有意故
HVH_107_11_000021_000017	犯放各计角罪一起干二十
HVH_107_11_000021_000018	而三角加一等至十三角以上罪止
HVH_107_11_000021_000019	被六十一题干答四十面二角加一
HVH_107_11_000021_000020	而沉匿動者不論常事及军情機
HVH_107_11_000021_000021	各從其罪之重者如所避罪重
HVH_107_11_000021_000022	于沉拆則從所避科之轻則沉
HVH_107_11_000021_000023	拆以上磨擦破捕壤记匿動等
HVH_107_11_000021_000024	项其铺司敬隐不行告举者各
HVH_107_11_000021_000025	典犯人同罪者已告舉而所在官司
HVH_107_11_000021_000026	不即受理施行者各减犯人罪二等
HVH_107_11_000021_000027	亦通承来以下各项而言定制
HVH_107_11_000021_000028	各账專额一吏管境内销分往来
HVH_107_11_000022_000001	骨察储可湖之销長提
HVH_107_11_000022_000002	也通承以上普得磨擦
HVH_107_11_000022_000003	壤损壞沈医拆動而言
HVH_107_11_000022_000004	皇越律网
HVH_107_11_000022_000005	卷十一
HVH_107_11_000022_000006	慧公交
HVH_107_11_000023_000001	邀取實封公文
HVH_107_11_000023_000002	凡在外大小各衙門官但有入滤遇呈貴
HVH_107_11_000023_000003	封公交至御前
HVH_107_11_000023_000004	上司官分人於中途急铺
HVH_107_11_000023_000005	即驿
HVH_107_11_000023_000006	粘
HVH_107_11_000023_000007	遗发
HVH_107_11_000023_000008	取回者不拘遗近從本铺铺手
HVH_107_11_000023_000009	所在官司告舉随申上轉
HVH_107_11_000023_000010	部奏聞追究藏
HVH_107_11_000023_000011	之情
HVH_107_11_000023_000012	得實
HVH_107_11_000023_000013	监假截进
HVH_107_11_000023_000014	表文术
HVH_107_11_000023_000015	其铺司铺兵容不告舉者各敬一百
HVH_107_11_000023_000016	若已告自所在官不即受理施行
HVH_107_11_000023_000017	者罪亦如之。若邀取贯封六部察
HVH_107_11_000023_000018	院公交者谷减二筝
HVH_107_11_000023_000019	卷取者此处
HVH_107_11_000023_000020	下国最上奏
HVH_107_11_000023_000021	网
HVH_107_11_000023_000022	干
HVH_107_11_000023_000023	不
HVH_107_11_000023_000024	受理敬
HVH_107_11_000023_000025	官司
HVH_107_11_000023_000026	童恒
HVH_107_11_000023_000027	究
HVH_107_11_000023_000028	各二上
HVH_107_11_000023_000029	楚
HVH_107_11_000023_000030	年铺
HVH_107_11_000024_000001	舖舍损壞
HVH_107_11_000024_000002	几急迎销舍损壞不為修理什物不備
HVH_107_11_000024_000003	兵数少不置及令老之人当役
HVH_107_11_000024_000004	者铺長答五十有司提調官更各四
HVH_107_11_000024_000005	大
HVH_107_11_000024_000006	铺舍不修什物不兵少不铺老
HVH_107_11_000024_000007	當群皆有誤于急之事者故長
HVH_107_11_000024_000008	答五十有同提詞
HVH_107_11_000024_000009	官使各四十
HVH_107_11_000024_000010	皇越律例
HVH_107_11_000024_000011	卷十华
HVH_107_11_000024_000012	二十三
HVH_107_11_000024_000013	销合损象
HVH_107_11_000025_000001	私驿铺兵
HVH_107_11_000025_000002	几各街門一應公差人员
HVH_107_11_000025_000003	通不許
HVH_107_11_000025_000004	所在
HVH_107_11_000025_000005	使铺兵挑送官物及私行李者答
HVH_107_11_000025_000006	四十每名計一日追雇工银八分五厘
HVH_107_11_000025_000007	五毫入官
HVH_107_11_000025_000008	兵乃魂建公文之葬非供公差私
HVH_107_11_000025_000009	所在急题分不自差使铺
HVH_107_11_000025_000010	解之人各銜門一應公差人員經過
HVH_107_11_000025_000011	桃官物及私行李建者告四十
HVH_107_11_000025_000012	名接日工銀入官销兵有
HVH_107_11_000025_000013	爲之釋使则
HVH_107_11_000025_000014	销兵名下追取
HVH_107_11_000025_000015	皇越律例
HVH_107_11_000025_000016	巷—共筝
HVH_107_11_000025_000017	二十四
HVH_107_11_000025_000018	私馨铺
HVH_107_11_000026_000001	多支廪羚
HVH_107_11_000026_000002	九出使人员多支领廪给者計以不枉
HVH_107_11_000026_000003	無禄
HVH_107_11_000026_000004	廉给者迎额供以始整
HVH_107_11_000026_000005	使也出使人员不定数而外多
HVH_107_11_000026_000006	法输鼓官更不坐原其情非得
HVH_107_11_000026_000007	多支比此
HVH_107_11_000026_000008	越律例
HVH_107_11_000026_000009	春十一律
HVH_107_11_000026_000010	三十五
HVH_107_11_000026_000011	安史焦
HVH_107_11_000027_000001	文書應給驛而不給
HVH_107_11_000027_000002	申驿站
HVH_107_11_000027_000003	丁夫
HVH_107_11_000027_000004	九朝廷調遣軍馬及報警急軍務至將
HVH_107_11_000027_000005	若遣將及各門飛報軍情請朝
HVH_107_11_000027_000006	而失誤軍機者若進賀表及
HVH_107_11_000027_000007	救饑申報異取索軍需之重事
HVH_107_11_000027_000008	故不遣使给驿者杖八十
HVH_107_11_000027_000009	仍從重論
HVH_107_11_000027_000010	失軍
HVH_107_11_000027_000011	若
HVH_107_11_000027_000012	常事不應給驛而故給驛者答四十
HVH_107_11_000027_000013	抗文書网保螺重大诸自上而下
HVH_107_11_000027_000014	行則莫過於延制遣馬及報
HVH_107_11_000027_000015	此等必應使拾驿飛驰速到若当
HVH_107_11_000027_000016	衙門故意通不遣使给者
HVH_107_11_000027_000017	皇越律例春十一
HVH_107_11_000027_000018	二十大
HVH_107_11_000027_000019	查書應给研画希
HVH_107_11_000027_000020	一百因此警还而先器軍者漸。
HVH_107_11_000027_000021	若各街門進賀表笺及教荒寨
HVH_107_11_000027_000022	報买異取索軍需之额一應重事
HVH_107_11_000027_000023	書難次於前亦不可發是當給罪者
HVH_107_11_000027_000024	若导常事件文書不聽给而故意
HVH_107_11_000027_000025	异者答四十
HVH_107_11_000027_000026	條侧
HVH_107_11_000027_000027	一乘驿费公文员人遣限常事一
HVH_107_11_000027_000028	答二十每三日加一等罪止杖六十軍
HVH_107_11_000027_000029	情重事加三等因而失誤軍機者
HVH_107_11_000027_000030	监
HVH_107_11_000027_000031	候
HVH_107_11_000027_000032	若管站员賣放站丁臨特雇借老弱不
HVH_107_11_000027_000033	堪撞及進延不即應付以致建限者
HVH_107_11_000027_000034	對問明白
HVH_107_11_000027_000035	即以前應
HVH_107_11_000027_000036	得答杖斬
HVH_107_11_000027_000037	罪坐管站员其
HVH_107_11_000028_000001	水涨道路阻礙經行者不坐若承受官
HVH_107_11_000028_000002	在
HVH_107_11_000028_000003	答一十每三日
HVH_107_11_000028_000004	一等罪止答四十
HVH_107_11_000028_000005	事千軍務者不减者
HVH_107_11_000028_000006	由原行公文题寫错者罪坐题寫之人
HVH_107_11_000028_000007	承差通驿人员不坐
HVH_107_11_000028_000008	皇越律侧
HVH_107_11_000028_000009	卷十一兵律
HVH_107_11_000028_000010	二十七
HVH_107_11_000028_000011	文書應给驿面不拾
HVH_107_11_000029_000001	公事應行普程
HVH_107_11_000029_000002	几公事有應起解官物四徒畜産差人管
HVH_107_11_000029_000003	送而普留及事有期限而建者
HVH_107_11_000029_000004	一日答二十每三日加一等罪止答五
HVH_107_11_000029_000005	十若起解軍需随征供給而管送
HVH_107_11_000029_000006	香
HVH_107_11_000029_000007	街
HVH_107_11_000029_000008	建限者各加二等罪止杖一百以致
HVH_107_11_000029_000009	敵缺之失誤軍機者斬
HVH_107_11_000029_000010	永
HVH_107_11_000029_000011	高
HVH_107_11_000029_000012	若承差人誤
HVH_107_11_000029_000013	不依题寫去废错去他所以致建限者
HVH_107_11_000029_000014	减二等事干单務者不减
HVH_107_11_000029_000015	或新照前
HVH_107_11_000029_000016	成答或杖
HVH_107_11_000029_000017	面
HVH_107_11_000029_000018	限
HVH_107_11_000029_000019	者罪坐题寫
HVH_107_11_000029_000020	之人承差人不坐
HVH_107_11_000029_000021	皇越律例
HVH_107_11_000029_000022	卷十一共律
HVH_107_11_000029_000023	二十八
HVH_107_11_000029_000024	事庭行日程
HVH_107_11_000029_000025	日官物则各项程一辨供本色
HVH_107_11_000029_000026	之额皆是日目能则輕重罪犯皆是
HVH_107_11_000029_000027	曰南雀则牛以至猪年等畜管
HVH_107_11_000029_000028	是圣事有德起群各项面承差常
HVH_107_11_000029_000029	之人無故留不脚起罹及差
HVH_107_11_000029_000030	城日输罪
HVH_107_11_000029_000031	之人警留连者各
HVH_107_11_000029_000032	答四十至计轨日以上罪止做一
HVH_107_11_000029_000033	此以未事者言也若因赵限以
HVH_107_11_000029_000034	而限者则與故舞者有
HVH_107_11_000029_000035	指上单需供给而言照前项杖断
HVH_107_11_000029_000036	罪科之由原行公文寫错则非承
HVH_107_11_000029_000037	差人之過也或答或杖或斬
HVH_107_11_000029_000038	罪坐题之人承差不坐
HVH_107_11_000030_000001	占宿驿舍上房
HVH_107_11_000030_000002	九公差人员街外辨公事占宿驿含正
HVH_107_11_000030_000003	上房待
HVH_107_11_000030_000004	窃核出处二字治
HVH_107_11_000030_000005	有不必事指在京差
HVH_107_11_000030_000006	由如上司差岗
HVH_107_11_000030_000007	员亦是巷差而
HVH_107_11_000030_000008	出皆篇岗外也
HVH_107_11_000030_000009	星越律创
HVH_107_11_000030_000010	一卷十一兵章
HVH_107_11_000030_000011	三十九
HVH_107_11_000030_000012	古联舍上房
HVH_107_11_000031_000001	私後民夫撞
HVH_107_11_000031_000002	几各衙門官吏及使人员役使人民
HVH_107_11_000031_000003	轎者杖大十有司應付者减一等若豪
HVH_107_11_000031_000004	富
HVH_107_11_000031_000005	族
HVH_107_11_000031_000006	之家
HVH_107_11_000031_000007	钱以势
HVH_107_11_000031_000008	不拾雇
HVH_107_11_000031_000009	役使相客轎者罪
HVH_107_11_000031_000010	亦如之每名計一日追給雇工银八分
HVH_107_11_000031_000011	五厘五毫。其民間出錢雇工者不在
HVH_107_11_000031_000012	此限
HVH_107_11_000031_000013	各衙門官吏使人员役使自有意
HVH_107_11_000031_000014	合供按之夫附诺按使人民
HVH_107_11_000031_000015	辆者越分劳民故杖大十有可
HVH_107_11_000031_000016	给應时者藏一等至于细客不遇為
HVH_107_11_000031_000017	如极大十文罪其所役人民细客按
HVH_107_11_000031_000018	各日遣給雇工價銀。其民周
HVH_107_11_000031_000019	皇越律倒
HVH_107_11_000031_000020	卷十一律
HVH_107_11_000031_000021	三十
HVH_107_11_000031_000022	长解吴夫楠
HVH_107_11_000031_000023	錢雇工者贫人自顾受
HVH_107_11_000031_000024	雇自不在役使之限
HVH_107_11_000031_000025	條侧
HVH_107_11_000031_000026	一九内府官员执事之人及各部院衙門
HVH_107_11_000031_000027	官員人等並印信詐欺索取民
HVH_107_11_000031_000028	夫等项該地方官即行拘一面申報
HVH_107_11_000031_000029	該管具题一面申報該部審實保官
HVH_107_11_000031_000030	A
HVH_107_11_000031_000031	革職係從属執事人等挙送刑部從重
HVH_107_11_000031_000032	治罪拏首之地方官交部議叙
HVH_107_11_000032_000001	病故官家属
HVH_107_11_000032_000002	軍民在任以理病故家属無力不能
HVH_107_11_000032_000003	者所在官司差人管付
HVH_107_11_000032_000004	車船
HVH_107_11_000032_000005	脚力随程验
HVH_107_11_000032_000006	所有
HVH_107_11_000032_000007	家
HVH_107_11_000032_000008	口官給行遥送回
HVH_107_11_000032_000009	鄉连而不选者杖六十
HVH_107_11_000032_000010	以理察故角非因犯罪止是敬
HVH_107_11_000032_000011	路途意付力验口给极送回
HVH_107_11_000032_000012	建者术
HVH_107_11_000032_000013	长十
HVH_107_11_000032_000014	皇越律侧
HVH_107_11_000032_000015	卷十一六
HVH_107_11_000032_000016	+
HVH_107_11_000032_000017	有散官家同
HVH_107_11_000032_000018	"
HVH_107_11_000032_000019	全
HVH_107_11_000032_000020	CaPEF
HVH_107_11_000032_000021	"
HVH_107_11_000032_000022	:
HVH_107_11_000032_000023	;
HVH_107_11_000032_000024	32
HVH_107_11_000032_000025	:
HVH_107_11_000032_000026	4
HVH_107_11_000032_000027	B
HVH_107_11_000032_000028	~
HVH_107_11_000033_000001	承差轉雇寄人
HVH_107_11_000033_000002	几承差起解官物囚徒畜産不親管送而
HVH_107_11_000033_000003	雇人寄人代领送者杖六十因而损失
HVH_107_11_000033_000004	官物畜産及失四者依本律各從重論
HVH_107_11_000033_000005	整則仍科雇寄
HVH_107_11_000033_000006	携失重同损失
HVH_107_11_000033_000007	受雇受寄人各减承差
HVH_107_11_000033_000008	一等。其同差人自相替者放者各答
HVH_107_11_000033_000009	四十取财者
HVH_107_11_000033_000010	貼鲜之物
HVH_107_11_000033_000011	法論若事有损失者亦依损失官物及
HVH_107_11_000033_000012	失四律追断不在减等之限
HVH_107_11_000033_000013	各旅本
HVH_107_11_000033_000014	若侵欺故
HVH_107_11_000033_000015	律替者有犯管送
HVH_107_11_000033_000016	人不知情不坐
HVH_107_11_000033_000017	几承奉各衙門官司差遗鲜一
HVH_107_11_000033_000018	官物四徒畜産其有不親身管领押
HVH_107_11_000033_000019	皇越律例二卷十一共年
HVH_107_11_000033_000020	三十二
HVH_107_11_000033_000021	承差轉寄人
HVH_107_11_000033_000022	送而雇情他人或轉寄興人代普
HVH_107_11_000033_000023	送者承差之人枚六十因雇面损
HVH_107_11_000033_000024	壤遣失官物畜產及失徒者依本
HVH_107_11_000033_000025	律各從其重者論罪如损失重于
HVH_107_11_000033_000026	雇寄即依担失本律仍以雇寄
HVH_107_11_000033_000027	科之受雇受寄之人各成承差之人
HVH_107_11_000033_000028	一等無损失者答五十有所順失亦
HVH_107_11_000033_000029	照承差應得之罪減之0若同承差
HVH_107_11_000033_000030	遗定解官物四徒畜建之人自相替
HVH_107_11_000033_000031	放其替者放者各答四十如承替之
HVH_107_11_000033_000032	物及失四律迫不在受寄成
HVH_107_11_000033_000033	之限以其同像承差之人为有典守
HVH_107_11_000033_000034	之责奥雇涛常人不同也不
HVH_107_11_000033_000035	言畜産者在官物中也
HVH_107_11_000034_000001	乘官畜産車船附私物
HVH_107_11_000034_000002	九因公差應乘官馬牛者
HVH_107_11_000034_000003	各街门自撰官
HVH_107_11_000034_000004	马不得驰屏而
HVH_107_11_000034_000005	者行
HVH_107_11_000034_000006	除随身衣仗外私駝物不得十斤
HVH_107_11_000034_000007	建者五斤笞一十每十斤加一等罪止
HVH_107_11_000034_000008	杖六十0其乘車者私载物不得過
HVH_107_11_000034_000009	三十斤者十斤一十每二十斤加
HVH_107_11_000034_000010	一等罪止杖七十家人随從者不坐若
HVH_107_11_000034_000011	受寄私载他人物者寄物之人同罪其
HVH_107_11_000034_000012	物並入官當鼓官司知而容者與同
HVH_107_11_000034_000013	罪不知者不坐若應合追运家小
HVH_107_11_000034_000014	七离
HVH_107_11_000034_000015	如障
HVH_107_11_000034_000016	在任以理病故
HVH_107_11_000034_000017	有件不在此限
HVH_107_11_000034_000018	皇越律例
HVH_107_11_000034_000019	卷十一兵律
HVH_107_11_000034_000020	三十三
HVH_107_11_000034_000021	乘官畜産車马船附私物
HVH_107_11_000034_000022	官畜車第非驿馬之比然止公
HVH_107_11_000034_000023	之乘坐非供松物之联载也儿因
HVH_107_11_000034_000024	公務差道應拾来官马牛者身衣
HVH_107_11_000034_000025	仗之外私耿带之物不得十斤
HVH_107_11_000034_000026	建者十斤多五一十加等
HVH_107_11_000034_000027	至大十五斤以上罪止大十0其
HVH_107_11_000034_000028	211
HVH_107_11_000034_000029	当进與公差之私物不限
HVH_107_11_000034_000030	條例
HVH_107_11_000034_000031	一漕運船复除逐軍自带土宜货物外若
HVH_107_11_000035_000001	附搭客商势要人等酒糯米花草竹
HVH_107_11_000035_000002	木扳片器皿貨物者本船運軍并附
HVH_107_11_000035_000003	载人员依律治罪貨物人官其押運官
HVH_107_11_000035_000004	有犯交部議處
HVH_107_11_000035_000005	奥官有問法無
HVH_107_11_000035_000006	附载人员依建制運军
HVH_107_11_000035_000007	止网
HVH_107_11_000035_000008	建制
HVH_107_11_000035_000009	皇越律纲卷十一共律
HVH_107_11_000035_000010	三十四
HVH_107_11_000035_000011	荣官産审监滑物
HVH_107_11_000035_000012	1
