HVH_107_14_000001_000001	皇越律侧卷十四目録
HVH_107_14_000018_000012	俱获退被殺人父毋妻子悉放爲民
HVH_107_14_000018_000013	皇越律例一卷十四年
HVH_107_14_000018_000014	七
HVH_107_14_000018_000015	段一家三人
HVH_107_14_000018_000016	若殺期親奴僕一家三人者狡联殺内
HVH_107_14_000018_000017	外大功小力總反族中双僕一家三
HVH_107_14_000018_000018	人者俱暂候
HVH_107_14_000018_000019	一段一家非死罪二人及役三人而非
HVH_107_14_000018_000020	一家者與本欲謀教一人而行者殺三
HVH_107_14_000018_000021	人案内造意不行之犯俱挺斬立决奏
HVH_107_14_000018_000022	請
HVH_107_14_000018_000023	定奪将段一家二命之犯财產查明酌一半
HVH_107_14_000018_000024	拾付死者之家其三人而非一家内
HVH_107_14_000018_000025	有一人仍係一家者亦前斷一半給付
HVH_107_14_000018_000026	被殺二命之家爲首之犯监故财産
HVH_107_14_000019_000001	行断給若係死一家二命原無心
HVH_107_14_000019_000002	殺之心者不得溢引此例
HVH_107_14_000019_000003	一殺一家非死罪三四命以上者见犯依
HVH_107_14_000019_000004	律凌處死不拘死者之家是否絕嗣
HVH_107_14_000019_000005	见犯之子除同謀加功及有别頂情罪
HVH_107_14_000019_000006	者仍照本律定挺外其實無同謀加功
HVH_107_14_000019_000007	者如年在十六岁以上達年在十
HVH_107_14_000019_000008	五歲以下者與免犯之妻女改發近
HVH_107_14_000019_000009	在十五歲以下者给其
HVH_107_14_000019_000010	蜀倾回不必遣
HVH_107_14_000019_000011	皇越律侧
HVH_107_14_000019_000012	-
HVH_107_14_000019_000013	卷律
HVH_107_14_000019_000014	大
HVH_107_14_000019_000015	装家元
HVH_107_14_000019_000016	一爲交報仇除因念逞见臨時連殺一家
HVH_107_14_000019_000017	三命者仍照律例定提外如起意将
HVH_107_14_000019_000018	之人殺死後被死者家属經見慮其
HVH_107_14_000019_000019	報官復行殺害致殺一家三命以上者
HVH_107_14_000019_000020	必究明報仇情節殺非同時與時
HVH_107_14_000019_000021	連殺数命者有間将該犯擬斬立次
HVH_107_14_000019_000022	妻子免其緑坐
HVH_107_14_000019_000023	2
HVH_107_14_000020_000001	坏生折割人
HVH_107_14_000020_000002	儿探生折割人者
HVH_107_14_000020_000003	余已殺及
HVH_107_14_000020_000004	巴傷言首
HVH_107_14_000020_000005	凌遥處死财
HVH_107_14_000020_000006	産断付死者之家妻子及同居家口雖
HVH_107_14_000020_000007	不知情鱼流二千里安置
HVH_107_14_000020_000008	探生折割人
HVH_107_14_000020_000009	是一事取
HVH_107_14_000020_000010	生人耳目臟之類而折割其體
HVH_107_14_000020_000011	讹填支解事同但支解者止欲殺具人
HVH_107_14_000020_000012	街以惑人故又特重之
HVH_107_14_000020_000013	加功者依謀殺人律诚等
HVH_107_14_000020_000014	未會傷人者首亦斬妻子流二千里
HVH_107_14_000020_000015	産财
HVH_107_14_000020_000016	断付應流之限
HVH_107_14_000020_000017	一百不知者不坐告獲者官給赏银二
HVH_107_14_000020_000018	皇越律例
HVH_107_14_000020_000019	美
HVH_107_14_000020_000020	十四刑律
HVH_107_14_000020_000021	九
HVH_107_14_000020_000022	探生折割人
HVH_107_14_000020_000023	十两
HVH_107_14_000020_000024	上條交解人是因恨而謀止于
HVH_107_14_000020_000025	敬其人而把此桥生折割鱼非阳
HVH_107_14_000020_000026	處死所有财産盡付者之家其
HVH_107_14_000020_000027	财虚不流家口若探生所
HVH_107_14_000020_000028	會赦亦不宥免满從者断不断
HVH_107_14_000020_000029	已會行尚未傷人為道者亦渐妻子
HVH_107_14_000020_000030	一百不知者不
HVH_107_14_000020_000031	生折割與謀役人之法不洞謀
HVH_107_14_000020_000032	生折割
HVH_107_14_000020_000033	是
HVH_107_14_000020_000034	奥
HVH_107_14_000020_000035	日
HVH_107_14_000020_000036	米
HVH_107_14_000020_000037	爲從亦断
HVH_107_14_000021_000001	之最者恶其妖術也爲從乃同
HVH_107_14_000021_000002	事典行之人與锡同坐原
HVH_107_14_000021_000003	而分别科地加功不加功
HVH_107_14_000021_000004	之當推原論之不可泥定
HVH_107_14_000021_000005	條例
HVH_107_14_000021_000006	一几株生折割等人如有親屬首告或掉
HVH_107_14_000021_000007	送到官已行者正犯不免其坐之妻
HVH_107_14_000021_000008	子及同居家口得同自首律免
HVH_107_14_000021_000009	星越律例卷十四利律
HVH_107_14_000021_000010	干
HVH_107_14_000021_000011	挤生斯割人
HVH_107_14_000022_000001	造畜鑫毒人
HVH_107_14_000022_000002	造畜盛毒堪以段人反教合
HVH_107_14_000022_000003	人道
HVH_107_14_000022_000004	书
HVH_107_14_000022_000005	万書或得之先
HVH_107_14_000022_000006	註者人家偶有
HVH_107_14_000022_000007	不必用
HVH_107_14_000022_000008	造畜者
HVH_107_14_000022_000009	不用已
HVH_107_14_000022_000010	或得之意有方
HVH_107_14_000022_000011	書未置则典道
HVH_107_14_000022_000012	入官妻子及同居家口雖不知情並流
HVH_107_14_000022_000013	百不同郎無知面傳
HVH_107_14_000022_000014	千人齐典教令不
HVH_107_14_000022_000015	二千里安置
HVH_107_14_000022_000016	教令者之财声
HVH_107_14_000022_000017	子等不在此限
HVH_107_14_000022_000018	妻
HVH_107_14_000022_000019	若以
HVH_107_14_000022_000020	发人之事也如遇此
HVH_107_14_000022_000021	阿皆未有人之心
HVH_107_14_000022_000022	毒毒同居人其被毒之人父毋妻亲子
HVH_107_14_000022_000023	科以不廊面火算
HVH_107_14_000022_000024	蓄可耳
HVH_107_14_000022_000025	孫不知造蛊情者不在流達之限
HVH_107_14_000022_000026	知情
HVH_107_14_000022_000027	若你
HVH_107_14_000022_000028	仍猴坐
HVH_107_14_000022_000029	波幕
HVH_107_14_000022_000030	若里長知而不舉者各杖一百
HVH_107_14_000022_000031	不知者不坐告獲者官給赏銀二十两
HVH_107_14_000022_000032	子孫双建催工
HVH_107_14_000022_000033	m
HVH_107_14_000022_000034	行
HVH_107_14_000022_000035	人尊长单幼
HVH_107_14_000022_000036	皇越律创
HVH_107_14_000022_000037	卷十四律
HVH_107_14_000022_000038	主
HVH_107_14_000022_000039	追备步校人
HVH_107_14_000022_000040	致死者各依本
HVH_107_14_000022_000041	教法欲止合人苦疾
HVH_107_14_000022_000042	無致人
HVH_107_14_000022_000043	之心
HVH_107_14_000022_000044	者戚
HVH_107_14_000022_000045	校已
HVH_107_14_000022_000046	行未傷
HVH_107_14_000022_000047	二等其子孙於祖
HVH_107_14_000022_000048	艾毋父毋
HVH_107_14_000022_000049	或藥而不无
HVH_107_14_000022_000050	買而未用者杖一百徒三年知情賣藥
HVH_107_14_000022_000051	追者造作也畜者故藏也造作必出
HVH_107_14_000022_000052	家通畜毒以人之物
HVH_107_14_000022_000053	於自妆藏或得之他人无有人于
HVH_107_14_000022_000054	于及阿居家口不加情鱼二
HVH_107_14_000022_000055	里安置會教不有教命同是罪而
HVH_107_14_000023_000001	不断时産不流妻子家口者盖备
HVH_107_14_000023_000002	把有般人之物面教命止有教人之
HVH_107_14_000023_000003	方其心则
HVH_107_14_000023_000004	而微有不同是猶已行
HVH_107_14_000023_000005	未之分地若所造高之毒即
HVH_107_14_000023_000006	妖邪并将所欲段人之生年月日
HVH_107_14_000023_000007	冯咒詛之想几本意欲以此数人者
HVH_107_14_000023_000008	藏律例卷十律
HVH_107_14_000023_000009	州
HVH_107_14_000023_000010	造益人
HVH_107_14_000023_000011	以救論几
HVH_107_14_000023_000012	税各按謀段记
HVH_107_14_000023_000013	海
HVH_107_14_000023_000014	徒律而移不有如
HVH_107_14_000023_000015	故教者断買業本意印人
HVH_107_14_000023_000016	百三人巴
HVH_107_14_000023_000017	行禾傷人之罪色育者知者
HVH_107_14_000023_000018	流
HVH_107_14_000023_000019	里不知者不坐以非
HVH_107_14_000024_000001	之此也是获人之物而但造
HVH_107_14_000024_000002	但畜即坐新罪故無首從分止
HVH_107_14_000024_000003	堪以人不言用以数人名每校
HVH_107_14_000024_000004	人即是媒放有命課教本律而此
HVH_107_14_000024_000005	重于彼法愿從重不必言也丙惟毒
HVH_107_14_000024_000006	及親屬则父當用謀發律如单幼
HVH_107_14_000024_000007	解長應皆凌者自依謀仍
HVH_107_14_000024_000008	盡此入官禄坐之法不得止從重論
HVH_107_14_000024_000009	而已也算长于单勿罪不干新測依
HVH_107_14_000024_000010	本律坐所入官坐不得以詳早
HVH_107_14_000024_000011	劝而竟之也蓋本律断罪是為造畜
HVH_107_14_000024_000012	非为教人故不論尊長早幼而同居
HVH_107_14_000024_000013	被人之父妻妾子孫者知造
HVH_107_14_000024_000014	情者猶不免于洗也其共之人有
HVH_107_14_000024_000015	不知造畜之情者自依群首從
HVH_107_14_000024_000016	暇加甲造欲教乙商之行
HVH_107_14_000024_000017	闪云以接之内图與食数
HVH_107_14_000024_000018	死甲依本律丙原不知是盛自謀
HVH_107_14_000024_000019	我加功不得提人造备也又如
HVH_107_14_000024_000020	甲飲謀数乙而商之于两合
HVH_107_14_000024_000021	丙却自造教之甲原不知是
HVH_107_14_000024_000022	自依發造意两依本律不得混入
HVH_107_14_000024_000023	皇越律创卷十四节
HVH_107_14_000024_000024	三
HVH_107_14_000024_000025	范畜盛我人
HVH_107_14_000024_000026	教為從也无蠱毒謀发人之業须
HVH_107_14_000024_000027	查二律儿人親属各從重論依备
HVH_107_14_000024_000028	例百及各蓝本
HVH_107_14_000024_000029	法之例分别剂
HVH_107_14_000024_000030	條例
HVH_107_14_000024_000031	諸色铺户人等貨賣霜信石係知
HVH_107_14_000024_000032	情故賣者仍照律與犯同罪外若不究
HVH_107_14_000024_000033	明来歷但贪利混賣致成人命者雖不
HVH_107_14_000024_000034	知情亦將貨賣之人照不應重律杖入
HVH_107_14_000024_000035	十
HVH_107_14_000024_000036	一几以毒藥毒鼠毒默誤人命之案如
HVH_107_14_000024_000037	置蔡饵之處人所罕到或置族喂食牲
HVH_107_14_000024_000038	畜處所不期殺人寔係耳目思虑所不及
HVH_107_14_000025_000001	者依遇失殺人律妆贖若在人常過
HVH_107_14_000025_000002	處所置教因而人者依無故有人
HVH_107_14_000025_000003	居止电舍放弹射箭律杖一百流三千
HVH_107_14_000025_000004	里仍追埋垫银一十两
HVH_107_14_000025_000005	皇越律例一卷样
HVH_107_14_000025_000006	中里
HVH_107_14_000025_000007	建人
HVH_107_14_000026_000001	断及故殺人
HVH_107_14_000026_000002	降时有意欲殺非人所知日
HVH_107_14_000026_000003	獨隊日股有從為月謀共
HVH_107_14_000026_000004	鲜注此富典欧
HVH_107_14_000026_000005	故共酸者谁不及知仍只爲同謀共
HVH_107_14_000026_000006	弹参布
HVH_107_14_000026_000007	此故税所以與毀同條而與謀有分
HVH_107_14_000026_000008	两注此你犯者最多
HVH_107_14_000026_000009	全要把其事前有
HVH_107_14_000026_000010	几圖殿殺人者不手是他物金刃血较
HVH_107_14_000026_000011	意所本教何如发
HVH_107_14_000026_000012	预谋牌有無数
HVH_107_14_000026_000013	领
HVH_107_14_000026_000014	望
HVH_107_14_000026_000015	故殺者斬
HVH_107_14_000026_000016	候
HVH_107_14_000026_000017	雪
HVH_107_14_000026_000018	若同謀共殿人因
HVH_107_14_000026_000019	命出干手
HVH_107_14_000026_000020	而致死者以致命傷爲重下手
HVH_107_14_000026_000021	不同共
HVH_107_14_000026_000022	杖一百流三千里
HVH_107_14_000026_000023	餘人
HVH_107_14_000026_000024	命又原謀
HVH_107_14_000026_000025	不曾下手我
HVH_107_14_000026_000026	各杖一百人数
HVH_107_14_000026_000027	多募及
HVH_107_14_000026_000028	之輕
HVH_107_14_000026_000029	重言
HVH_107_14_000026_000030	两人相對而殿日几校人
HVH_107_14_000026_000031	者不同手足他物金办之傷但是
HVH_107_14_000026_000032	傷面死者或在当时或在限内
HVH_107_14_000026_000033	鱼者手促或能物或金办
HVH_107_14_000026_000034	是发罪所傷不同发死则一也被此
HVH_107_14_000026_000035	皇越律创
HVH_107_14_000026_000036	富
HVH_107_14_000026_000037	卷十四
HVH_107_14_000026_000038	學意止飲慢不請殿傷之重以致
HVH_107_14_000026_000039	重
HVH_107_14_000026_000040	酸及故数人
HVH_107_14_000026_000041	其死故止较如一时说其
HVH_107_14_000026_000042	首者之原群不份增否共杖一
HVH_107_14_000026_000043	百流三千里以其為首人也其
HVH_107_14_000026_000044	徐同在者謂之人不當人
HVH_107_14_000026_000045	多寡不計所傷輕重各杖
HVH_107_14_000026_000046	一百以其腾协助之人卷
HVH_107_14_000026_000047	按用殿殺典俱不言爲之
HVH_107_14_000026_000048	謂之用因事忿爭相對而段毁者一
HVH_107_14_000026_000049	队购喉之有若有者分
HVH_107_14_000026_000050	面厥則是樣共険而非殿矣
HVH_107_14_000026_000051	者原無爲之人也以
HVH_107_14_000026_000052	日有意撤发非人知日故夫
HVH_107_14_000026_000053	日時則無預可知矣曰非人所
HVH_107_14_000026_000054	知则無同謀可知矣其起意在于
HVH_107_14_000026_000055	爲從者告之随從而则是謀敬而
HVH_107_14_000027_000001	非故發矣故数之法列于用之下
HVH_107_14_000027_000002	共殿之上者蓄故数之事即在
HVH_107_14_000027_000003	做亦不知
HVH_107_14_000027_000004	謀仍流人仍放所謂各盡本法也
HVH_107_14_000027_000005	臆咽而致死是不特原等與除人本
HVH_107_14_000027_000006	之心也然既已致死则所謀為輕
HVH_107_14_000027_000007	皇越律例
HVH_107_14_000027_000008	卷十四制律
HVH_107_14_000027_000009	卖
HVH_107_14_000027_000010	用政及茂入
HVH_107_14_000027_000011	重故下手者教原謀者流既有
HVH_107_14_000027_000012	一较一流则像人得從竟典一杖足
HVH_107_14_000027_000013	在者之意中故造意之罪重于加
HVH_107_14_000027_000014	功同共其心本非之心
HVH_107_14_000027_000015	謀之名與造意不同人之稱方與
HVH_107_14_000027_000016	加功各
HVH_107_14_000027_000017	異也
HVH_107_14_000027_000018	悠得
HVH_107_14_000027_000019	一凡同謀共人犯除下手者凝外其
HVH_107_14_000027_000020	共之人審保持刀等項兒器亦
HVH_107_14_000027_000021	有致命傷痕者發近過充軍必實係造
HVH_107_14_000027_000022	意首祸之人方以原謀擬流有重傷
HVH_107_14_000028_000001	而又持有器者方以合例發造其组
HVH_107_14_000028_000002	會與謀而未造意並有重傷而無兒器
HVH_107_14_000028_000003	有器而無重傷者毋得擬流成
HVH_107_14_000028_000004	无審理命案一人獨人致死無論致
HVH_107_14_000028_000005	命不致命皆挺抵償若两人共人致
HVH_107_14_000028_000006	死則以頂心順門太陽穴耳竅咽喉陶
HVH_107_14_000028_000007	膛乳心坎肚腰臍肚两肠臂囊胸後
HVH_107_14_000028_000008	耳根脊背脊两後肠腰眼并頂心之
HVH_107_14_000028_000009	偏左偏右額颤額角爲致命論抵
HVH_107_14_000028_000010	一几同謀共殿久傷皆致命知當時身死
HVH_107_14_000028_000011	則以後下手重者當其重罪若當時米
HVH_107_14_000028_000012	皇越律例卷十四
HVH_107_14_000028_000013	刑律
HVH_107_14_000028_000014	重
HVH_107_14_000028_000015	随及故人
HVH_107_14_000028_000016	死而遏後身死者當究明何傷致死以
HVH_107_14_000028_000017	傷重者坐罪若原謀共殿亦有致命重
HVH_107_14_000028_000018	傷以原謀為首如致命傷輕則以有
HVH_107_14_000028_000019	致命重傷之人撤抵原謀仍照律擬流
HVH_107_14_000028_000020	至亂不知先後輕重者有原謀則坐
HVH_107_14_000028_000021	原謀爲首無原謀則坐初圖者爲首
HVH_107_14_000028_000022	一文武生自鄉神及一切土豪恶無源
HVH_107_14_000028_000023	概徒除謀故殺人反戲殺误殺過失殺
HVH_107_14_000028_000024	殺傷人者仍照律治罪外知有
HVH_107_14_000028_000025	伙名色势力武新卿曲或空詐逞
HVH_107_14_000028_000026	兑横行欺壓平民其人不敢與爭旁人
HVH_107_14_000029_000001	不敢歡阻将人殿打至死者擬斬监假
HVH_107_14_000029_000002	若受害人有殺傷者以擅殺傷罪人律
HVH_107_14_000029_000003	科
HVH_107_14_000029_000004	一儿两家致斃人命除尊军服制及
HVH_107_14_000029_000005	死者多寡不同或故殺殺情罪不等
HVH_107_14_000029_000006	仍照本律定提外其两家各一命果
HVH_107_14_000029_000007	各係兒手本宗有服親属將抵人
HVH_107_14_000029_000008	犯免死减等延若原殿傷轻不致
HVH_107_14_000029_000009	於死越十日後因風身死及保辜正限
HVH_107_14_000029_000010	外餘限内身死者於本罪上再减一等
HVH_107_14_000029_000011	杖一百徒三年
HVH_107_14_000029_000012	皇越律例
HVH_107_14_000029_000013	卷十四律
HVH_107_14_000029_000014	天
HVH_107_14_000029_000015	附险及故数人
HVH_107_14_000029_000016	一几犯死罪监候人犯在监復行兄致死
HVH_107_14_000029_000017	人命者照前後所犯新狡罪名從重挺
HVH_107_14_000029_000018	以立决
HVH_107_14_000029_000019	一两家互致死一命其律應擬抵之正
HVH_107_14_000029_000020	兄当時被死者無服親屬死將死
HVH_107_14_000029_000021	手之人杖一百流三千里如被死者
HVH_107_14_000029_000022	有服親屬死比照此例再减一等將
HVH_107_14_000029_000023	殴死手之人杖一百徒三年仍各追
HVH_107_14_000029_000024	埋截銀二十两給付屍親收领其各
HVH_107_14_000029_000025	一命将應抵人犯免死减流之業除
HVH_107_14_000029_000026	係同居親屬無容追埋外或一家被殺
HVH_107_14_000030_000001	之人與减流之犯有不同居共财者各
HVH_107_14_000030_000002	於犯人名下追银二十两給付死者家
HVH_107_14_000030_000003	属
HVH_107_14_000030_000004	一與人而誤殺其人之祖父毋父
HVH_107_14_000030_000005	毋妻女子孙均承殺律科罪
HVH_107_14_000030_000006	一无共案内下手應擬较抵人犯果
HVH_107_14_000030_000007	於未經到官之前遇有原謀及共餘
HVH_107_14_000030_000008	人内殿有致死重傷之人實因本案畏
HVH_107_14_000030_000009	罪自盡及到官以後未結之前监在
HVH_107_14_000030_000010	獄與解審中途而病故者准其抵命
HVH_107_14_000030_000011	將下手應校之人减等概流若係配
HVH_107_14_000030_000012	皇越律例三卷十四测律
HVH_107_14_000030_000013	无
HVH_107_14_000030_000014	用胶反故发人
HVH_107_14_000030_000015	事結之後身故及事前在家病或因
HVH_107_14_000030_000016	他故自盡與本案全無干涉者不得濫
HVH_107_14_000030_000017	引此例仍将下手之人依律抵
HVH_107_14_000030_000018	婦人被人調戲其本夫及有服親屬擅
HVH_107_14_000030_000019	殺調戲罪人應擬抵者如本歸畏累
HVH_107_14_000030_000020	自盡將擅殺之犯减一等杖一百流三
HVH_107_14_000030_000021	千里
HVH_107_14_000030_000022	局後共案内原謀及助毆傷重之人在
HVH_107_14_000030_000023	蓝在途病故下手應擬较抵人犯减等
HVH_107_14_000030_000024	凝流恭遇
HVH_107_14_000030_000025	恩詔均准其一體减等
HVH_107_14_000031_000001	嗣後殺一家非死罪二命一一故擬以
HVH_107_14_000031_000002	殺决
HVH_107_14_000031_000003	越律例三
HVH_107_14_000031_000004	卷十四
HVH_107_14_000031_000005	早
HVH_107_14_000031_000006	阳限及放发人
HVH_107_14_000032_000001	屏去人服食
HVH_107_14_000032_000002	能置人耳鼻及孔中
HVH_107_14_000032_000003	若故屏去人服用飲食之物而傷人者
HVH_107_14_000032_000004	不同傷
HVH_107_14_000032_000005	琴月去人衣服
HVH_107_14_000032_000006	滑之人其飲食登高
HVH_107_14_000032_000007	之数致成残疾者杖一百徒三
HVH_107_14_000032_000008	乘馬杨夫
HVH_107_14_000032_000009	年合致篤疾者杖一百流三千里将犯
HVH_107_14_000032_000010	人财產一半給付篤疾之人養赡至死
HVH_107_14_000032_000011	者若故用蛇毒蠱咬傷人者
HVH_107_14_000032_000012	以闘政傷諭
HVH_107_14_000032_000013	四十至筋疾亦龄财產
HVH_107_14_000032_000014	而致死者斬
HVH_107_14_000032_000015	喉
HVH_107_14_000032_000016	2
HVH_107_14_000032_000017	或以一應能傷人之物置人耳鼻丙
HVH_107_14_000032_000018	及孔中使受傷損或屏去人服用
HVH_107_14_000032_000019	皇越律侧
HVH_107_14_000032_000020	一卷十四刑律
HVH_107_14_000032_000021	主
HVH_107_14_000032_000022	屏去人服食
HVH_107_14_000032_000023	飲食之物使受危险颠滑寒冷
HVH_107_14_000032_000024	因而傷人者不周锡之輕重俱杖
HVH_107_14_000032_000025	十致成残疾如赔一目折一版之
HVH_107_14_000032_000026	以他物置人耳鼻孔屏人服用
HVH_107_14_000032_000027	飲食带是傷人未心致死若蛇
HVH_107_14_000032_000028	毒原是毒物是以发人明有
HVH_107_14_000032_000029	我人于死之意故罪有不同也
HVH_107_14_000033_000001	救誤殺過失殺傷人
HVH_107_14_000033_000002	儿图戲
HVH_107_14_000033_000003	加数拳粹之類
HVH_107_14_000033_000004	诉族是一昨差错
HVH_107_14_000033_000005	失手之事游洋故
HVH_107_14_000033_000006	因爵殿而誤殺傷旁人者各以傷
HVH_107_14_000033_000007	之本人之就奴
HVH_107_14_000033_000008	侯见面藏欢投
HVH_107_14_000033_000009	死者孟投者
HVH_107_14_000033_000010	其謀殺故殺人而誤
HVH_107_14_000033_000011	意非获及劳人
HVH_107_14_000033_000012	儒本人选则是有
HVH_107_14_000033_000013	殺旁人者以故論
HVH_107_14_000033_000014	死者虑断不言
HVH_107_14_000033_000015	标本保谋故之
HVH_107_14_000033_000016	之此仍各题本法
HVH_107_14_000033_000017	若知津河水深泥洋而詐稱平淺及
HVH_107_14_000033_000018	几人而误及因
HVH_107_14_000033_000019	获言几人田
HVH_107_14_000033_000020	梁渡船朽漏不堪渡人而詐稱牢固班
HVH_107_14_000033_000021	靓属而及禹富
HVH_107_14_000033_000022	属而及几人因
HVH_107_14_000033_000023	令人過渡以致隔溺死傷者
HVH_107_14_000033_000024	相等
HVH_107_14_000033_000025	修发单明各律程
HVH_107_14_000033_000026	鼓藏
HVH_107_14_000033_000027	皇雄衡分别事的
HVH_107_14_000033_000028	之未易效舉
HVH_107_14_000033_000029	荣牌會云校车
HVH_107_14_000033_000030	功及等长依发
HVH_107_14_000033_000031	长续欲章长
HVH_107_14_000033_000032	之
HVH_107_14_000033_000033	如弹射愉状因事投期硬尾不期
HVH_107_14_000033_000034	皇越律例
HVH_107_14_000033_000035	卷十四律
HVH_107_14_000033_000036	三十
HVH_107_14_000033_000037	成我获遇失获备人
HVH_107_14_000033_000038	反单事依军長
HVH_107_14_000033_000039	两教人者或介高除是有次累及
HVH_107_14_000033_000040	建校单动面洗发
HVH_107_14_000033_000041	同或驾船使風乘馬驚走車下
HVH_107_14_000033_000042	尊長您烈故教算
HVH_107_14_000033_000043	不能止或共舉重物力不制及
HVH_107_14_000033_000044	等校算而
HVH_107_14_000033_000045	同舉物者无初無害人之意而偶致
HVH_107_14_000033_000046	数率动磨以放单
HVH_107_14_000033_000047	人者者唯段傷人罪律收
HVH_107_14_000033_000048	功典收拿责已行
HVH_107_14_000033_000049	给付被傷之家以為营基及華
HVH_107_14_000033_000050	未伤提其考险之
HVH_107_14_000033_000051	之
HVH_107_14_000033_000052	资
HVH_107_14_000033_000053	而祝发在旁之人此等藏
HVH_107_14_000033_000054	旁之劳
HVH_107_14_000033_000055	實其以聞段傷論中
HVH_107_14_000033_000056	人心
HVH_107_14_000033_000057	巴
HVH_107_14_000033_000058	被
HVH_107_14_000033_000059	推
HVH_107_14_000033_000060	教则其
HVH_107_14_000033_000061	数
HVH_107_14_000033_000062	奥发之事
HVH_107_14_000033_000063	干不意其心则欲发人
HVH_107_14_000034_000001	施人矣故由暇而誤者以
HVH_107_14_000034_000002	集論由謀欲故教而誤者以故税論
HVH_107_14_000034_000003	若明知律河水不可涉泥海不
HVH_107_14_000034_000004	可行而非稱平浅可遇及明知梁
HVH_107_14_000034_000005	x
HVH_107_14_000034_000006	築免放各惟聞殿殺人之罪傷者
HVH_107_14_000034_000007	之家爲营基之資此准
HVH_107_14_000034_000008	子奥准盗维枉法等律之准字不同
HVH_107_14_000034_000009	董但准伙用教傷养各面接照收馈
HVH_107_14_000034_000010	非亦名维者止
HVH_107_14_000034_000011	越律例
HVH_107_14_000034_000012	1
HVH_107_14_000034_000013	卷十羽斧
HVH_107_14_000034_000014	核一百三千里地
HVH_107_14_000034_000015	1
HVH_107_14_000034_000016	政设4点火
HVH_107_14_000034_000017	條例
HVH_107_14_000034_000018	一應該償命罪囚遇蒙
HVH_107_14_000034_000019	赦有俱追銀二十两给付被段家属如果十分
HVH_107_14_000034_000020	貧難者量追一半
HVH_107_14_000034_000021	一枚贖過失殺人较罪與被殺之家管華
HVH_107_14_000034_000022	折银十二两四钱二分
HVH_107_14_000034_000023	其通失人妆
HVH_107_14_000034_000024	照银两数目另
HVH_107_14_000034_000025	载圆
HVH_107_14_000034_000026	闪
HVH_107_14_000034_000027	一几捕役賊與賊格闘而誤殺無干之
HVH_107_14_000034_000028	人者仍照過失救人律於犯人名下追
HVH_107_14_000034_000029	銀十二两四錢二分給付死者之家
HVH_107_14_000034_000030	一儿国戲而誤役旁人者以戲役論提
HVH_107_14_000035_000001	监误
HVH_107_14_000035_000002	一各项埋基银两地方官照数追给取
HVH_107_14_000035_000003	具嫡屬收倾然後将該犯释放報部存
HVH_107_14_000035_000004	案若不給付該犯管押者仍管押
HVH_107_14_000035_000005	监禁者仍监禁劫限追如控稱給付
HVH_107_14_000035_000006	將本犯释放者告發之日本犯不准援
HVH_107_14_000035_000007	免地方官一併從重議處
HVH_107_14_000035_000008	一命案内死罪人犯有奏准赎罪者追理
HVH_107_14_000035_000009	银四十两狗屍親收镇
HVH_107_14_000035_000010	一几民人於深山喷野捕獵施放箭打
HVH_107_14_000035_000011	射禽默不期殺人者比照捕户於深山
HVH_107_14_000035_000012	里越律例
HVH_107_14_000035_000013	卷十四
HVH_107_14_000035_000014	刑律
HVH_107_14_000035_000015	\
HVH_107_14_000035_000016	发买放遇无人
HVH_107_14_000035_000017	曠野安置弓不立望竿因而傷人致
HVH_107_14_000035_000018	死律杖一百徒三年若城市及有人
HVH_107_14_000035_000019	居止宅含施放箭打射食献不期教
HVH_107_14_000035_000020	傷人者仍依弓箭殺傷人本律科各
HVH_107_14_000035_000021	追埋银一十两給與死者之家
HVH_107_14_000035_000022	一无過失殺八應追埋垫銀之犯如有
HVH_107_14_000035_000023	力不能交咨請豁免者免其著追將
HVH_107_14_000035_000024	犯照不應重律杖貴發落
HVH_107_14_000035_000025	一謀殺人以致下手之犯課殺旁人將造
HVH_107_14_000035_000026	意之犯擬監候下子傷重致死者杖
HVH_107_14_000035_000027	一百流三千里餘人杖一百若执持
HVH_107_14_000036_000001	器傷罪重於满流者從其重者論如下
HVH_107_14_000036_000002	手之犯另挑他嫌機役害並非失误
HVH_107_14_000036_000003	者審實将下手之犯照謀殺人本律擬
HVH_107_14_000036_000004	斬監侯其造意之犯照謀段人未傷律
HVH_107_14_000036_000005	擬徒
HVH_107_14_000036_000006	疯病殺人者從犯人名下追取埋基银
HVH_107_14_000036_000007	十二两四钱二分给付死者之家
HVH_107_14_000036_000008	一疯病之人其親屬鄰佑人等客隐不報
HVH_107_14_000036_000009	不行看守以敛疯病之人自敌者照不
HVH_107_14_000036_000010	應重律杖八十致殺他人者照知人謀
HVH_107_14_000036_000011	害他人不即阻当首報律杖一百如親
HVH_107_14_000036_000012	皇越例二卷十
HVH_107_14_000036_000013	到律
HVH_107_14_000036_000014	主
HVH_107_14_000036_000015	遇夫人
HVH_107_14_000036_000016	屬都佑人等已經载明而該管官不嚴
HVH_107_14_000036_000017	飾看守以致自殺及致我他人者俱交
HVH_107_14_000036_000018	部議處
HVH_107_14_000036_000019	一疯病人如家有最客房屋可以鎖
HVH_107_14_000036_000020	的當親屬可以管束及婦女患瘋者俱
HVH_107_14_000036_000021	報官交與親属看守令地方官视鎖
HVH_107_14_000036_000022	嚴行封图如親屬饋禁不嚴致有殺
HVH_107_14_000036_000023	人者将親属照例最加治罪知果痊愈
HVH_107_14_000036_000024	不報官驗明取具族長地降結始
