HVH_101_000001_000001	皇朝維新萬萬年歲叁
HVH_101_000022_000012	詞翰
HVH_101_000022_000013	二十三
HVH_101_000022_000014	承将伊姓名年更计後伏乞
HVH_101_000022_000015	本縣堂官審以事轉禀伊名得侯文憑服事萬里
HVH_101_000022_000016	今叩
HVH_101_000022_000017	呈
HVH_101_000022_000018	一置保副壹名名阮文年庚歲
HVH_101_000022_000019	保里長单
HVH_101_000022_000020	府總社者老取後先次纸全社等吧
HVH_101_000022_000021	皇為乞置绿承励取民社里長名例蒙得赏街单
HVH_101_000022_000022	乞辞後經票覆依伤保充役等因民社會合遵例遴保
HVH_101_000022_000023	擇得内籍丁阮文么是物刀字乾順保為里長應
HVH_101_000023_000001	行諸公務為此单保具有正副總叶舉社内连名記承
HVH_101_000023_000002	将伊姓名年庚計後伏乞
HVH_101_000023_000003	本縣堂官審恤以事轉票伊得候领文憑服事萬望
HVH_101_000023_000004	呈
HVH_101_000023_000005	保副里单
HVH_101_000023_000006	府縣總社者老戰光纸鄉役叩
HVH_101_000023_000007	呈為乞置保事缘承民社副辞役现下扮防属業公
HVH_101_000023_000008	務紛繁里長辨难過所應保他充役寺因兹展社會合
HVH_101_000023_000009	得内箱丁阮文是敏可堪顺保為副里長共
HVH_101_000023_000010	里長承辨諸公務此单保具有正副總叶舉社内连
HVH_101_000023_000011	詞翰
HVH_101_000023_000012	二十四
HVH_101_000023_000013	高承将伊姓名年庚计後伏乞
HVH_101_000023_000014	本縣堂官審恤批副為憑伴伊名得便承行萬望今叩
HVH_101_000023_000015	吴
HVH_101_000023_000016	单保赤青袴兵
HVH_101_000023_000017	府縣總社先次里者役全社寺會合在亭為立顺詞
HVH_101_000023_000018	候
HVH_101_000023_000019	来绿承伤叙民社分受赤兵名域情
HVH_101_000023_000020	要得强壮服
HVH_101_000023_000021	明手快一正二隨引呈假棟嗣而名公各中棟記八軍
HVH_101_000023_000022	纸全民遵例附餐伊兵田干故高
HVH_101_000023_000023	或倒兵蒲国课五
HVH_101_000023_000024	发干贯
HVH_101_000023_000025	年回其坐次在亭咱從首里役固若逃躲疏平不謹者伊
HVH_101_000024_000001	名所受不干本社坐次亦不在此例又如再登課者卽附
HVH_101_000024_000002	餐粮还民不得固抗兹顺詞
HVH_101_000024_000003	賣役詞
HVH_101_000024_000004	府縣總社者老践色先次紙里御役会杜上下為顺詞
HVH_101_000024_000005	祀器或缠造警
HVH_101_000024_000006	民顺許伊名從典首里長
HVH_101_000024_000007	或許為本除搜跟飲典民同
HVH_101_000024_000008	邑饒男
HVH_101_000024_000009	受一切在民雜役饒除满代仍此顺詞交伊抗守為憑
HVH_101_000024_000010	兹顺詞
HVH_101_000024_000011	詞翰
HVH_101_000024_000012	二十五
HVH_101_000024_000013	谷梦詞状以下
HVH_101_000024_000014	座咨省堂
HVH_101_000024_000015	官御為續谷事之嗣来尤属保國人每有单叶
HVH_101_000024_000016	控何座谷祈究处贵省视為不切几事每有如此者
HVH_101_000024_000017	座每見日久未蒙究覆谁憑著辨使再三問寔頃如
HVH_101_000024_000018	月前日各祈究縣社范文单伊兄係是
HVH_101_000024_000019	兵在伍而伊里長兹提伊母多行不義之事乞審各理這
HVH_101_000024_000020	開除要宜究辨以安兵情而嗣来未見覆辨並究处如何
HVH_101_000024_000021	祈覆是德
HVH_101_000025_000001	省座咨縣
HVH_101_000025_000002	官御為咨移事兹祈伤縣官催社先次紙里長究質
HVH_101_000025_000003	伊社赤袴兵名再登课二年伊兵在家有無阻砖何情
HVH_101_000025_000004	並民社有無附餐粮田如何票便咨屯官知悉．至谷
HVH_101_000025_000005	伤者
HVH_101_000025_000006	右伤路府縣官准此
HVH_101_000025_000007	民社開呈詞
HVH_101_000025_000008	府縣總社先次纸者役叩
HVH_101_000025_000009	願登課二年有無阻及附粮田如何詳開卸票寺因
HVH_101_000025_000010	詞翰
HVH_101_000025_000011	二十六
HVH_101_000025_000012	承民侧從前出兵限三年附船钱干贯原来無有兵
HVH_101_000025_000013	田至年月日民内籍丁阮文棟中赤兵此間民社
HVH_101_000025_000014	暫取神祠田交伊兵妻子耕作嗣而至五年民社顺許
HVH_101_000025_000015	伊兵從共首里長一位伊子衣帽祭亭一位满五年伊又
HVH_101_000025_000016	登課二年這田民社亦仍交伊兵管認至兹經已年亭
HVH_101_000025_000017	寺間多而伊兵又登課二年民社紫乞從古附
HVH_101_000025_000018	同年残干贯共如暫取神祠田交还民杜以為修理
HVH_101_000025_000019	亭寺之需以舒民急為此具開伏乞
HVH_101_000025_000020	本縣堂審恤以事轉票单民社得蒙福副萬望今叩
HVH_101_000026_000001	呈
HVH_101_000026_000002	省咨筋文
HVH_101_000026_000003	官街
HVH_101_000026_000004	為谷伤事恭犯年於一千九百七年遵依國家
HVH_101_000026_000005	新議改定学法通各社民設立学頒示規式想亦
HVH_101_000026_000006	做古御学國學之法矣嗣來經已三四年不承行之下
HVH_101_000026_000007	教之共学之者諒已日渐進益無國家教育之至意否
HVH_101_000026_000008	乎兹祈各府縣親抵詳察各社学場有無遵行如何計禀
HVH_101_000026_000009	憑辨至咨筋者
HVH_101_000026_000010	又官街為容事得桑這均属民生日用而
HVH_101_000026_000011	國家尤為致意如開荒墾土设渠設填典夫吸水机及
HVH_101_000026_000012	詞翰
HVH_101_000026_000013	二十七
HVH_101_000026_000014	提顺道以農工如開蚕卵設育蚕局共夫然机及
HVH_101_000026_000015	植治蘭以廣桑事嗣來經年歲何寺周詩而承行之下
HVH_101_000026_000016	親民之我表率攸開兹祈各辖府縣编往詳察各社民
HVH_101_000026_000017	晨柔二者遵行如何典有無情願增廣桑詳開彙禀審
HVH_101_000026_000018	技须至谷者、
HVH_101_000026_000019	搜税全收省做文
HVH_101_000026_000020	官為札事兹接貴座商叙现今税居期定以
HVH_101_000026_000021	來月本日開收各府分次排指應丁搜田土税
HVH_101_000026_000022	及外附编来日報一齊全收其身紙具著明白交回
HVH_101_000027_000001	祈印上事理索下各社向愿编慧身纸齊會補收停
HVH_101_000027_000002	当及限向省座禀纳兹伤
HVH_101_000027_000003	右札饬府縣员準此
HVH_101_000027_000004	搜税全收伤文、
HVH_101_000027_000005	官衡馬札事兹承勤叙接贵座洛叙今年下搜田
HVH_101_000027_000006	士税及外附編來日報銀持應全收於憑编身牌紙具
HVH_101_000027_000007	著明白交回在衙便在座以本月成来日開收
HVH_101_000027_000008	因合宜卽總正副總上事理系伤總内各社里
HVH_101_000027_000009	長立向衙候履恐身紙将回齊月會先次紙者役田户
HVH_101_000027_000010	詞翰
HVH_101_000027_000011	R
HVH_101_000027_000012	二十八
HVH_101_000027_000013	人丁按疑補收著入编補簿先呈以及便憑束向座清
HVH_101_000027_000014	纳兹札饬、
HVH_101_000027_000015	若札伤總正副總准此
HVH_101_000027_000016	里長票田戸附耕
HVH_101_000027_000017	皇号年月日社里長阮票家人知社附耕
HVH_101_000027_000018	人缘承饰表今夏线丁搜田土银税全收分在座
HVH_101_000027_000019	訂以本月么日正层纳期田户附耕諸各氏早早預
HVH_101_000027_000020	辨银效便於日齊将田税向泰家超纳以及向座若起
HVH_101_000027_000021	迪以事具呈催差勿悔今票
HVH_101_000027_000022	花
HVH_101_000027_000023	搜丁全收田土分微省
HVH_101_000027_000024	2
HVH_101_000028_000001	官街為礼饬事兹接貴座浴叙现下搜税正届持應
HVH_101_000028_000002	田土税分徵至如丁搜税及外附编来日報銀一齊全收
HVH_101_000028_000003	已於编憑身牌具著明白友回便發其各府縣程限掛粘
HVH_101_000028_000004	次第登纳析即上事理辖下各總社向领恶编身
HVH_101_000028_000005	纸将回會收停当及限迎座禀纳兹做
HVH_101_000028_000006	右伤府縣员准此
HVH_101_000028_000007	搜全收田土税分微螺机场
HVH_101_000028_000008	皇年月日官御為札事兹按伤取接貴座
HVH_101_000028_000009	叙内一款田土税分假丁搜及外附编来日報展全收
HVH_101_000028_000010	詞翰
HVH_101_000028_000011	二十九
HVH_101_000028_000012	效目已於编身紙具著明白交回便在座訂以来月
HVH_101_000028_000013	或本日開收等因合伤宜即筋各總正副總招上事
HVH_101_000028_000014	月
HVH_101_000028_000015	理通各社里長立即向衙候领憑偏身纸将曲齊會先
HVH_101_000028_000016	次紙者役田户分收人寺按補收具著補簿返呈
HVH_101_000028_000017	以及向座投收纳兹筋
HVH_101_000028_000018	保正副總
HVH_101_000028_000019	.
HVH_101_000028_000020	皇號千年月日為札伤事刻承伤叙總
HVH_101_000028_000021	依需人承辨持應即筋避保充役寺因合伤宜即伤伊
HVH_101_000029_000001	各社里長齊會總内神豪例保修单記結引呈及
HVH_101_000029_000002	兹札
HVH_101_000029_000003	保正副里筋
HVH_101_000029_000004	皇號年月日官為札筋事兹據伊社長蒙得赏
HVH_101_000029_000005	街或黄侧单乞解役
HVH_101_000029_000006	或副里则云經禀覆依飭下保他充
HVH_101_000029_000007	单乞
HVH_101_000029_000008	役寺因合宜即案伤伊總正副總親抵齊會伊社先次
HVH_101_000029_000009	纸者役田户人寺遵例保修单記結引呈及禀兹
HVH_101_000029_000010	禁賭厚及盗堵盗買酒伤
HVH_101_000029_000011	皇號年月日府官為事兹據春節正
HVH_101_000029_000012	辖下諸社民間多因春例有八席祈福祝聖因而設
HVH_101_000029_000013	詞翰
HVH_101_000029_000014	三十
HVH_101_000029_000015	立赌場群聚觉闘又如漏酒一均為嚴禁嗣各社民
HVH_101_000029_000016	先吹纸里役為民頭目要宜加心先最戒戰着视常虛應
HVH_101_000029_000017	廉得應行嚴治不恕兹嚴飭
HVH_101_000029_000018	单微田土
HVH_101_000029_000019	府縣總社寺叩
HVH_101_000029_000020	票為乞事窃見属轄社地分内有一區
HVH_101_000029_000021	四至约饭
HVH_101_000029_000022	敬高均係荒無人墾兹民怨气将民社外籍下
HVH_101_000029_000023	弟角
HVH_101_000029_000024	得田土成项各干續单乞勘八侧起科散税伏
HVH_101_000030_000001	交量何伴民苛得便将丁墾庶無遗地萬望今
HVH_101_000030_000002	禀
HVH_101_000030_000003	札勘
HVH_101_000030_000004	皇号千年月日官街為札事兹據府县總社阮
HVH_101_000030_000005	单呈伊辖社地分内有一區約做千故零無人
HVH_101_000030_000006	c
HVH_101_000030_000007	楠墾气将丁壮立座墾作各理據呈所應勘辨除另派
HVH_101_000030_000008	'
HVH_101_000030_000009	外合礼即伊社先将地簿圖板呈究侯本月日另派
HVH_101_000030_000010	會同縣衙勘度限三日内返延有咎复至札者
HVH_101_000030_000011	右札伤員準此
HVH_101_000030_000012	詞翰
HVH_101_000030_000013	三十一
HVH_101_000030_000014	縣衙复禀
HVH_101_000030_000015	官肃
HVH_101_000030_000016	為禀明事月日承伤叙據阮单墾单辖社荒
HVH_101_000030_000017	之地各理下勘禀寺因里遵会同派員抵處催牵總接
HVH_101_000030_000018	並伊社现将地界圖版四至立標設单微親引願
HVH_101_000030_000019	的處顕係閱無人開破仍動備辨绳大包度這區併通
HVH_101_000030_000020	成田千零立编著案具取观各理敢具由會銜禀
HVH_101_000030_000021	明候承辨今书
HVH_101_000030_000022	票
HVH_101_000031_000001	乞入例詞
HVH_101_000031_000002	府縣總社名么
HVH_101_000031_000003	禀為乞八创起科事绿於年月日民单社之
HVH_101_000031_000004	地經承會同勘禀截交墾微在亲嗣民平将第侄
HVH_101_000031_000005	成务外
HVH_101_000031_000006	籍民
HVH_101_000031_000007	建丁干各立爲一寨各给牛耕田器饼力叶墾兹现成项
HVH_101_000031_000008	田干土干四至
HVH_101_000031_000009	近
HVH_101_000031_000010	懇乞從私墾例著起科全年税銀並各
HVH_101_000031_000011	項钱共成銀千以今年或發通納為始國課攸開伏乞
HVH_101_000031_000012	省堂列憲大人付下量何民便按项起科存未堪墾之
HVH_101_000031_000013	地您乞陸續開破俟成何项干另行单續萬颊今叩
HVH_101_000031_000014	詞翰
HVH_101_000031_000015	三十二
HVH_101_000031_000016	票
HVH_101_000031_000017	单控豪目占公田
HVH_101_000031_000018	府縣總社名么名寺叩
HVH_101_000031_000019	為乞審恤事缘民社所有微公田干高從前公置
HVH_101_000031_000020	各千存以年為課均給民以抬受嗣而名
HVH_101_000031_000021	為里長扶同豪目名寺籍以公消将处公田千
HVH_101_000031_000022	刊手專耕私肥今已逾課曾無均給冗多端穷丁舌
HVH_101_000031_000023	倘不叫鸣下户無由资印為此伏乞
HVH_101_000031_000024	堂官閣下審辨量何以蘇民萬顿今叩
HVH_101_000032_000001	呈
HVH_101_000032_000002	札催伊杜豪目
HVH_101_000032_000003	官前為札属兵知據得伊辖社名叫叙名名
HVH_101_000032_000004	扶同里長隐占公田乞各理開民隐合札前省详
HVH_101_000032_000005	正副總加属引催伊寺的身務獲解回究辨若退援有咎
HVH_101_000032_000006	兹札
HVH_101_000032_000007	被控開呈
HVH_101_000032_000008	府縣總社名呈為乞承開事绿承催究民社
HVH_101_000032_000009	单控民寺扶同里長占隐公田各理下开明承招民
HVH_101_000032_000010	社宴受搜税銀千里長解役於年月日民社保各公為
HVH_101_000032_000011	詞翰
HVH_101_000032_000012	三十三
HVH_101_000032_000013	里長適值搜税期民情招据催促無由伊里長會同民
HVH_101_000032_000014	祛妥料及納計無可出民顺摘将處公田千增限借
HVH_101_000032_000015	耕務充國課值干三年此次逾期無人
HVH_101_000032_000016	限根只得干
HVH_101_000032_000017	願買而纳期在即民井東西扒暫可充效交里長結認
HVH_101_000032_000018	迎纳清公嗣回各财主迫問無由來还延至辰候民社
HVH_101_000032_000019	願契替這田三年為限再增一限共六年毁尽其钱財
HVH_101_000032_000020	主均不顾認民不得已結契負债另權認取這田耕作
HVH_101_000032_000021	取利还债大年还民事属明白民寺毫無私的情存這
HVH_101_000032_000022	處田干散高從前民俗公置輪流筆纸田為里長者管琳
HVH_101_000033_000001	管耕取用日久成風老童共原非民寺刊手私肥且社
HVH_101_000033_000002	原呈寺名係預亭中常會事動有開係一向在避民
HVH_101_000033_000003	累正言责善致伊寺名挟此含怨攘起訟端名為御事
HVH_101_000033_000004	乃已私伏乞究明以顕其寔兹承下據寔開明若奸開
HVH_101_000033_000005	民寺甘咎
HVH_101_000033_000006	原開呈
HVH_101_000033_000007	府縣總社名寺叩呈為開呈事緣民寺单控民社
HVH_101_000033_000008	豪右寺共里长扶同占公田各理承励按明
HVH_101_000033_000009	憑究承此闲呈于後侯承審究計
HVH_101_000033_000010	詞翰
HVH_101_000033_000011	三十四
HVH_101_000033_000012	一疑首次里長公不知干得何疑伊寺迫勒辞役将贪
HVH_101_000033_000013	薄木訥之名么冒物力字保爲里長以便已私指使
HVH_101_000033_000014	殊甚奸巧
HVH_101_000033_000015	一是年為里長搜税期民社已
HVH_101_000033_000016	先會補迺伊里長行收不力及至纳日在即應纳無银始
HVH_101_000033_000017	共豪右相謀公雇公田充課此次民寺報謂有田有租經
HVH_101_000033_000018	奉创兹稍可之家已經纳遇惟存貧户諸人討辨未及
HVH_101_000033_000019	所應按欠量摘口分田借耕取钱充而伊里長典亲
HVH_101_000033_000020	謂緩不及期一味欠民強民求貸清納及民畏其
HVH_101_000033_000021	日多息厚契替這田該又声言财主不願取田伊寺負
HVH_101_000034_000001	債權認這田所行若濟民急謀强買民田情甚苦
HVH_101_000034_000002	一疑向來创俗民杜筆消差田千用里長當次新作
HVH_101_000034_000003	取用原在别所俗号處兹而伊寺合糊移印换断雇借
HVH_101_000034_000004	刊消因公送私奸情已露向上寺伊等所行的係相为
HVH_101_000034_000005	扶同欺上民更最購开希圖脱答想乞明究兹承伤下
HVH_101_000034_000006	據寔详开候承究兹承開
HVH_101_000034_000007	全民開叙
HVH_101_000034_000008	府縣總社名昔吧
HVH_101_000034_000009	呈承来承社名名单控名名寺扶
HVH_101_000034_000010	同里長占公各里承催開究等因绿於年月
HVH_101_000034_000011	詞葡
HVH_101_000034_000012	三十五
HVH_101_000034_000013	日前次里長解役通值搜税属期承保他事委行收
HVH_101_000034_000014	民社會合顺副里長確係能干家资稍可結保伊為
HVH_101_000034_000015	里長領服事是年所被款收日纳前旬日諸家分耕公
HVH_101_000034_000016	田久纳十至八九通算纳銀效共千百元尚欠数至
HVH_101_000034_000017	百元民社私家無力應暂借耕公田無人堪取纳期迫至
HVH_101_000034_000018	煩特名先行他扒完課侯料伊討接幸充此效
HVH_101_000034_000019	交里長結通纳清回财主追民社畏其日多息厚會
HVH_101_000034_000020	合契替處公田干共等借耕烟依辰價得銀干
HVH_101_000034_000021	充债效仍再一限價銀共銀料如何務以早
HVH_101_000035_000001	清民安且這契替之处内所在剩田原置為基事公需乃
HVH_101_000035_000002	此次他暫充課其會芙費買辨礼物均由里長出支消簿
HVH_101_000035_000003	動至钱千詳民民社顺将雇道剩田填簿伊原呈
HVH_101_000035_000004	报謂留為奉事不順他用伊里長急需業将原公置筆
HVH_101_000035_000005	低田他雇消嗣丽氏社權取剩田填还該里長筆紙之
HVH_101_000035_000006	田兹伊原呈亲有不如意併将投控各寺情民社從详
HVH_101_000035_000007	開候承審究兹承開
HVH_101_000035_000008	案提
HVH_101_000035_000009	官衡
HVH_101_000035_000010	拜
HVH_101_000035_000011	為将究持田止各绿由具票候番事日下单辖社
HVH_101_000035_000012	司翰
HVH_101_000035_000013	三十木
HVH_101_000035_000014	寺单控伊社名亲共里長謀将公田刊耕
HVH_101_000035_000015	私肥各理乞番果经先将超矣自遵催两造民当堂
HVH_101_000035_000016	对質據被控之名名名承查伊两造人寺肉係
HVH_101_000035_000017	籍民丁亭中在會恭创定公田只得借耕三年毁尽其
HVH_101_000035_000018	践远民均給先行增创不合理應科持彼此俱罪惟
HVH_101_000035_000019	伊社有事應需增限充課改换细里長田究係全民急
HVH_101_000035_000020	公隨辨無有利耕的情且按記契惟存一務銷毁持请册
HVH_101_000035_000021	须深究其私欠帰公之殊赤公耳之法應橡欠效
HVH_101_000035_000022	名下追收全民公消庶為省事至若原呈所斗被控所行
HVH_101_000036_000001	一是挾养生事一是因公私得失相牛各從寬焰不
HVH_101_000036_000002	應律各管四十仍改為苦差一个月示懲现下花利工
HVH_101_000036_000003	耕全民分极各牛四即还民为給各绿由就敢具案结票
HVH_101_000036_000004	其應否如何侯承
HVH_101_000036_000005	審阅伤遵今青
HVH_101_000036_000006	首示
HVH_101_000036_000007	札
HVH_101_000036_000008	官衡為扎伤事招得伊街結桌社
HVH_101_000036_000009	图土案理阅伊社都豪名端强買動干人楼
HVH_101_000036_000010	理宜按謀買律治但該戰在親民經究有急公面
HVH_101_000036_000011	詞翰
HVH_101_000036_000012	三十七
HVH_101_000036_000013	心涉私饼共原呈寺名嫌着訟各问管四十仍改為苦
HVH_101_000036_000014	差一个月以為他懲亦已妥合其替债田依借耕创线毁
HVH_101_000036_000015	尽田还民均給務公耕民各一牛至如里長田自
HVH_101_000036_000016	置業雇限銷按此管耕各理应依未备果已平情即助結
HVH_101_000036_000017	休奈司之息分伤知遵须至札所者
HVH_101_000036_000018	两造休奈詞
HVH_101_000036_000019	縣總社名名亲休事緣民原
HVH_101_000036_000020	時控民被呈買公田民被呈寺开奈全民承一一当
HVH_101_000036_000021	堂質究晓示不恶律均为干持党来各自背兹承
HVH_101_000037_000001	明励替债田民均给现利均里長田雇毁限銷按認
HVH_101_000037_000002	原處寺因仰見必使無訟等意各各平情為此合詞交記
HVH_101_000037_000003	懇气和休罷奈伏乞
HVH_101_000037_000004	本堂官大人阁下轉票付下量何庶民寺各蒙回業相
HVH_101_000037_000005	安今叩
HVH_101_000037_000006	呈
HVH_101_000037_000007	闘詞呈
HVH_101_000037_000008	府縣總社阮氏公
HVH_101_000037_000009	呈為苦事本月日適見本邑人名共氏夫始
HVH_101_000037_000010	詞翰
HVH_101_000037_000011	三+
HVH_101_000037_000012	相舟口嗣被名痛卧地被傷死具有鄰旁見知窃
HVH_101_000037_000013	本縣堂官審恤派下驗編究辨伴無冤枉
HVH_101_000037_000014	或恤及编究
HVH_101_000037_000015	量何俾云云
HVH_101_000037_000016	萬望今叩
HVH_101_000037_000017	吴
HVH_101_000037_000018	供引词
HVH_101_000037_000019	府题總社氏為乞供引来缘
HVH_101_000037_000020	日氏单控
HVH_101_000037_000021	日適見本邑人名痛打夫臥地致或夫
HVH_101_000037_000022	重傷队地
HVH_101_000037_000023	各理在单兹承履
HVH_101_000037_000024	7
HVH_101_000037_000025	武海
HVH_101_000037_000026	验纳
HVH_101_000037_000027	下
HVH_101_000037_000028	爲此具詞供引验编兹
HVH_101_000038_000001	供引詞
HVH_101_000038_000002	札催
HVH_101_000038_000003	府宫派属兵或前性社據里役即引拿該社
HVH_101_000038_000004	名的身并催鄰旁諸家並接近之總里立速跟到咱候
HVH_101_000038_000005	刻远有咎毋得藉擾兹札
HVH_101_000038_000006	编詞
HVH_101_000038_000007	年月日為立编詞事本日氏斗叙伊邑人各
HVH_101_000038_000008	派拿伊各催齐郑旁總接據伊苦主原供
HVH_101_000038_000009	男
HVH_101_000038_000010	詞翰
HVH_101_000038_000011	三十九
HVH_101_000038_000012	東西
HVH_101_000038_000013	南北
HVH_101_000038_000014	髪警身体被伤依法洗验一跡在處皮肉睡彙
HVH_101_000038_000015	精長干粉一跡在処腫紅腰圆解長干扮形如么物
HVH_101_000038_000016	举所傷
HVH_101_000038_000017	鄰旁诵词
HVH_101_000038_000018	府縣總社各為承開事緣承各
HVH_101_000038_000019	命傷之事体如何審承此據詳原於
HVH_101_000039_000001	民寺闻相闹声在本邑名家旁即辰同来看见邑内
HVH_101_000039_000002	人名么共名两相再口民寺婉辞諫止各已退咱惟名
HVH_101_000039_000003	且行且言辞氣暴慢見於色嗣而氏邑各散約一小辰
HVH_101_000039_000004	忽見報謂名卧死路上邑惶就看見名方立在
HVH_101_000039_000005	此名么卧地视目直上忽而奄奄绝息此次民邑恐怯不
HVH_101_000039_000006	敢就近不解缘故仍把持伊名不許他往取邑夫更
HVH_101_000039_000007	守那死不許他人迫近寺情兹承抵验催问據寔开明
HVH_101_000039_000008	兹承闲又
HVH_101_000039_000009	重傷即
HVH_101_000039_000010	適見報謂名被重打傷卧民邑
HVH_101_000039_000011	即就詰之伊名言所被名痛打重傷不堪起坐出言有
HVH_101_000039_000012	詞翰
HVH_101_000039_000013	四十
HVH_101_000039_000014	痛苦声名么亦立在此民邑词故伊名报謂不曾打伊
HVH_101_000039_000015	欲卧則卧本邑不果所言即把持名不許他往夫更守
HVH_101_000039_000016	名卧處親人探问亦不許迫近送食辰詳檢方許送
HVH_101_000039_000017	八而伊名只是斗痛不能食寺情據是詳闲兹承
HVH_101_000039_000018	勘禀
HVH_101_000039_000019	官術
HVH_101_000039_000020	书禀為先将合案情形
HVH_101_000039_000021	或殿傷具禀事颇烟
HVH_101_000039_000022	案情
HVH_101_000039_000023	单辖社氏单叶日伊社人名共該氏夫名始
HVH_101_000039_000024	相舟口嗣彼伊名死
HVH_101_000039_000025	带隨吏隸件人抵處催齐旁近總接人亲立拿那手
HVH_101_000039_000026	带
HVH_101_000040_000001	地屁身具有形跡做身依法洗驗立著案具
HVH_101_000040_000002	形具有傷跡
HVH_101_000040_000003	取结認視宴仍下被辨棺布咱屍親妻氏么權認管
HVH_101_000040_000004	以免暴露隨解被干人证回衙備查餘侯眾証明白另具
HVH_101_000040_000005	票具先将情形禀候承審
HVH_101_000040_000006	限满有無平服另呈勘辨隨解被干人证云云如前
HVH_101_000040_000007	被供首詞
HVH_101_000040_000008	詞翰
HVH_101_000040_000009	四十一
HVH_101_000040_000010	打如何致伊名么致命
HVH_101_000040_000011	如妹死
HVH_101_000040_000012	用被傷
HVH_101_000040_000013	備究寺因兹民據寔
HVH_101_000040_000014	首称原民典名么係同佑同本無嫌隙常相来往
HVH_101_000040_000015	喷用
HVH_101_000040_000016	道該功事於日4牌伊就民家話叔伊在家無所
HVH_101_000040_000017	生理行将遠遊故来叙别民謂君上有老親下有妻子遠
HVH_101_000040_000018	行日久仰事俯有何伊謂吾所以來正為此耳煩君兼顧
HVH_101_000040_000019	民笑謂螺自負不勝则負苔伊然难色民又謂君今
HVH_101_000040_000020	遠行路費如何報謂隨到隨辨民謂行乞乎伊卒作
HVH_101_000040_000021	色凌罵民先祖甚辞穢民婉辞谢失言亦不之咱嗣而
HVH_101_000040_000022	本邑傳闻闹声群来諫止各散約不移辰伊從外来越入
HVH_101_000041_000001	把民頭髮拽出巷外路上且骂且謂余謂我父爲苔塊我
HVH_101_000041_000002	身為乞丐来手足踏民芳不脱出亦相拍打誤中伊耳
HVH_101_000041_000003	旁然該倒卧苦炭声绝息
HVH_101_000041_000004	或被重傷则曰兹
HVH_101_000041_000005	然伊创卧重傷
HVH_101_000041_000006	承鲜查慈乞備将顾首供萬甘厥罪兹首供司
HVH_101_000041_000007	認领保辜
HVH_101_000041_000008	府縣總社名為乞認保辜事缘所干痛打名么重傷
HVH_101_000041_000009	之欲經承验编伤跡在案立限三十日保限内有無平
HVH_101_000041_000010	復另呈承此民認伊名回家湯藥保至平復具
HVH_101_000041_000011	呈勘裤伏乞
HVH_101_000041_000012	詞翰
HVH_101_000041_000013	四十二
HVH_101_000041_000014	本縣堂官付下量何萬頼
HVH_101_000041_000015	認领司
HVH_101_000041_000016	府縣總社氏為乞認埋事缘氏夫名不
HVH_101_000041_000017	幸被名痛枉命家承抵驗具有傷跡著案伤下權認
HVH_101_000041_000018	埋俟究承此認願理座以免暴露兹認詞
HVH_101_000041_000019	案握
HVH_101_000041_000020	官肃
HVH_101_000041_000021	禀為将究擬致命案情結通候審事日下卑辖社
HVH_101_000041_000022	氏叫叙云云乞验单属吏人處
HVH_101_000041_000023	云云经具先将禀遵付查提嗣故郑旁拥叙云云部
HVH_101_000042_000001	各供叙云仍催那名家人粘取口供那苦主親妻
HVH_101_000042_000002	氏么供詞依至如巷外寺情不各寺語等因查那
HVH_101_000042_000003	係籍民年庚千父母
HVH_101_000042_000004	存设或同
HVH_101_000042_000005	居或異居
HVH_101_000042_000006	伊社供闲根脚颇属
HVH_101_000042_000007	良善此次那名么就伊家談道似此出言不近人情固矣
HVH_101_000042_000008	諫之既觸其怒又從而追唤適增其暴怒惹生情弊
HVH_101_000042_000009	宜改用
HVH_101_000042_000010	辰性急一打舍亦那各之不幸耳谨按毆律载内一
HVH_101_000042_000011	欺以手足段人至死者伊当抵償就中有可軟者两家無
HVH_101_000042_000012	仇名枉命莫之致而致請遵失殺问绞遵例追收贖
HVH_101_000042_000013	詞翰
HVH_101_000042_000014	四十三
HVH_101_000042_000015	情结迎及限其應否宽酌如何伏候審说今甫票
HVH_101_000042_000016	强盗詞状
HVH_101_000042_000017	2
HVH_101_000042_000018	府縣總社總里寺叩
HVH_101_000042_000019	呈為解納事昨夜約更牌聞鼓呼喚連声民總各
HVH_101_000042_000020	平民夫驰至邑地頭见伊邑里役民夫接截在此何之
HVH_101_000042_000021	均称伊邑各家被劫但伊家出八路巷窄狭且被那黨
HVH_101_000042_000022	满放失刺谁前進仍伤民夫分道伏擎寺語民寺併平
HVH_101_000042_000023	民夫由阨要处田截那党知情放火前門破後竹壘向
HVH_101_000042_000024	路而去民等一面救火一報号追举拿获丁内有
HVH_101_000043_000001	面一丁名寓居談邑的干丁一皆走脱夜深黑道
HVH_101_000043_000002	捉弗獲寺情事劫盗立刻飞呈便将那所韧革並脏
HVH_101_000043_000003	物器由亭所更将解纳併引被伤之民夫向呈候
HVH_101_000043_000004	承審辨
HVH_101_000043_000005	口供司
HVH_101_000043_000006	本衙爲粘取口供事兹提名供称伊名年庚二十
HVH_101_000043_000007	歲幼辰從親父他方雇度不記鄉貫稍長只見寓於邑
HVH_101_000043_000008	日行佣工夜宿店所不幸父没經十年餘夫妄苟合平日
HVH_101_000043_000009	常就伊財主家佣作原無偷窃爲非何辰去日入暮見貫
HVH_101_000043_000010	司翰
HVH_101_000043_000011	四十四
HVH_101_000043_000012	哉者之名被捉
HVH_101_000043_000013	辰常遇
